Source,Target
Karl Otto Pöhl,Jacques
Karl Otto Pöhl,the Monetary Committee
Karl Otto Pöhl,ECOFIN
Karl Otto Pöhl,the Committee of Governors
Karl Otto Pöhl,the Monetary Committee
Jacques Delors,Committee
Alexandre Lamfalussy,Treaty
Jacques Delors,
Frans Andriessen,
Niels Thygesen,
Jacques de Larosière,State
Carlo Azeglio Ciampi,
Jean Godeaux,
Mariano Rubio,
Jacques Delors,
Wim Duisenberg,
Karl Otto Pöhl,
Jacques Delors,
Wim Duisenberg,Hoffmeyer and Doyle
Jacques Delors,
Wim Duisenberg,
Karl Otto Pöhl,the Werner Report
Karl Otto Pöhl,Council for a new
Karl Otto Pöhl,EEC
Karl Otto Pöhl,State
Karl Otto Pöhl,Committee
Karl Otto Pöhl,the European Central Bank
Karl Otto Pöhl,EC
Karl Otto Pöhl,EMS
Karl Otto Pöhl,EMS
Robin Leigh-Pemberton,the European Community
Robin Leigh-Pemberton,Community
Robin Leigh-Pemberton,EMS
Jacques Delors,
Mariano Rubio,EMS
Mariano Rubio,ERM
Mariano Rubio,the Spanish Government
Mariano Rubio,the Spanish Government
Mariano Rubio,the Committee of Governors
Mariano Rubio,the Committee of Governors
Mariano Rubio,the Werner Report
Mariano Rubio,the Werner Report
Pierre Jaans,EMS
Pierre Jaans,EMS
Pierre Jaans,EMS
Pierre Jaans,EMS
Pierre Jaans,the Werner Report
Pierre Jaans,Community
Niels Thygesen,EMS
Niels Thygesen,EMS
Niels Thygesen,Committee
Niels Thygesen,EMS
Niels Thygesen,EMS
Niels Thygesen,EMS
Niels Thygesen,EMU
Niels Thygesen,EMU
Niels Thygesen,the European Council
Erik Hoffmeyer,State
Erik Hoffmeyer,State
Erik Hoffmeyer,communiqués
Erik Hoffmeyer,State
Erik Hoffmeyer,State
Alexandre Lamfalussy,the Committee of Governors
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,Committee
Alexandre Lamfalussy,Committee
Alexandre Lamfalussy,EMS
Alexandre Lamfalussy,this Committee of Governors
Alexandre Lamfalussy,EMS
Alexandre Lamfalussy,Governors
Alexandre Lamfalussy,Governors
Maurice F. Doyle,Karl-Otto
Maurice F. Doyle,Committee
Maurice F. Doyle,EMU
Maurice F. Doyle,the European Council
Maurice F. Doyle,the European Council
Maurice F. Doyle,the European Council
Maurice F. Doyle,the European Council
Maurice F. Doyle,the European Council
Miguel Boyer,Financial Community
Karl Otto Pöhl,Committee
Karl Otto Pöhl,EC
Karl Otto Pöhl,the Bank of England
Karl Otto Pöhl,the British Government
Karl Otto Pöhl,Central Bank Council
